
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp2.dat""
# Contour 0, label:        2
 1.96135 -2.14316  2 
 2.02881 -2.21546  2 
 2.08792 -2.27413  2 
 2.152 -2.34203  2 
 2.21449 -2.40382  2 
 2.27617 -2.4686  2 
 2.34106 -2.53258  2 
 2.40114 -2.59517  2 
 2.46763 -2.6606  2 
 2.52672 -2.72174  2 
 2.5942 -2.78807  2 
 2.65273 -2.84831  2 
 2.72077 -2.91511  2 
 2.77916 -2.97488  2 
 2.84734 -3.04176  2 
 2.90588 -3.10145  2 
 2.97391 -3.16817  2 
 3.03281 -3.22802  2 
 3.10048 -3.29435  2 
 3.15998 -3.35459  2 
 3.22705 -3.42033  2 
 3.28729 -3.48116  2 
 3.35362 -3.54619  2 
 3.41474 -3.60773  2 
 3.48019 -3.67189  2 
 3.54232 -3.7343  2 
 3.60676 -3.79751  2 
 3.66994 -3.86087  2 
 3.73333 -3.92304  2 
 3.79769 -3.98744  2 
 3.8599 -4.0485  2 
 3.92544 -4.11401  2 
 3.98647 -4.17393  2 
 4.05331 -4.24058  2 
 4.11304 -4.29924  2 
 4.18118 -4.36715  2 
 4.23961 -4.42453  2 
 4.30915 -4.49372  2 
 4.36618 -4.54979  2 
 4.43712 -4.62029  2 
 4.49275 -4.675  2 
 4.56511 -4.74686  2 
 4.61932 -4.80018  2 
 4.69315 -4.87343  2 
 4.74589 -4.92533  2 
 4.82121 -5  2 

 4.99903  4.79485  2 
 4.95034  4.74589  2 
 4.87246  4.66193  2 
 4.83009  4.61932  2 
 4.74589  4.5285  2 
 4.71034  4.49275  2 
 4.61932  4.39452  2 
 4.59115  4.36618  2 
 4.49275  4.25995  2 
 4.47253  4.23961  2 
 4.36618  4.12474  2 
 4.35456  4.11304  2 
 4.23961  3.98882  2 
 4.23727  3.98647  2 
 4.11494  3.8599  2 
 4.11304  3.85774  2 
 3.99122  3.73333  2 
 3.98647  3.72793  2 
 3.86793  3.60676  2 
 3.8599  3.59761  2 
 3.74513  3.48019  2 
 3.73333  3.46673  2 
 3.62289  3.35362  2 
 3.60676  3.33519  2 
 3.50129  3.22705  2 
 3.48019  3.20291  2 
 3.3804  3.10048  2 
 3.35362  3.06979  2 
