
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp3.dat""
# Contour 0, label:        4
 2.7519  0.442509  4 
 2.76288  0.569079  4 
 2.77394  0.695649  4 
 2.78329  0.822219  4 
 2.7888  0.948789  4 
 2.78796  1.07536  4 
 2.77792  1.20193  4 
 2.75547  1.3285  4 
 2.72077  1.4428  4 
 2.71654  1.45507  4 
 2.65028  1.58164  4 
 2.5942  1.65736  4 
 2.55093  1.70821  4 
 2.46763  1.78076  4 
 2.39536  1.83478  4 
 2.34106  1.86591  4 
 2.21449  1.92711  4 
 2.12857  1.96135  4 
 2.08792  1.97411  4 
 1.96135  2.00584  4 
 1.83478  2.03008  4 
 1.70821  2.0473  4 
 1.58164  2.05798  4 
 1.45507  2.06262  4 
 1.3285  2.06168  4 
 1.20193  2.05567  4 
 1.07536  2.04506  4 
 0.948789  2.03034  4 
 0.822219  2.01199  4 
 0.695649  1.99049  4 
 0.569079  1.96634  4 

 0.569079  1.96634  4 
 0.5451  1.96135  4 
 0.442509  1.93425  4 
 0.315939  1.89866  4 
 0.189369  1.86153  4 
 0.100351  1.83478  4 
 0.0627994  1.82006  4 
-0.0637706  1.77007  4 
-0.190341  1.72048  4 
-0.222429  1.70821  4 
-0.316911  1.65947  4 
-0.443481  1.59689  4 
-0.476317  1.58164  4 
-0.570051  1.52005  4 
-0.677871  1.45507  4 
-0.696621  1.43792  4 
-0.823191  1.33491  4 
-0.832425  1.3285  4 
-0.938895  1.20193  4 
-0.949761  1.17304  4 
-0.995593  1.07536  4 
-1.00056  0.948789  4 
-0.968003  0.822219  4 
-0.949761  0.780483  4 
-0.920032  0.695649  4 
-0.86758  0.569079  4 
-0.823191  0.461227  4 
-0.816617  0.442509  4 
-0.778242  0.315939  4 
-0.750276  0.189369  4 
-0.735603  0.0627994  4 
-0.73566 -0.0637706  4 
-0.750443 -0.190341  4 
-0.778502 -0.316911  4 
-0.816941 -0.443481  4 
-0.823191 -0.461264  4 
-0.86799 -0.570051  4 
-0.920415 -0.696621  4 
-0.949761 -0.780549  4 
-0.968357 -0.823191  4 
-1.00069 -0.949761  4 
-0.995368 -1.07633  4 
-0.949761 -1.17274  4 
-0.938322 -1.2029  4 
-0.831337 -1.32947  4 
-0.823191 -1.33511  4 
-0.696621 -1.43775  4 
-0.67655 -1.45604  4 
-0.570051 -1.52004  4 
-0.474548 -1.58261  4 
-0.443481 -1.59701  4 
-0.316911 -1.65943  4 
-0.220232 -1.70918  4 
-0.190341 -1.72058  4 
-0.0637706 -1.77007  4 
 0.0627994 -1.81996  4 
 0.103192 -1.83575  4 
 0.189369 -1.8616  4 
 0.315939 -1.89865  4 
 0.442509 -1.93418  4 
 0.549247 -1.96232  4 
 0.569079 -1.96644  4 
 0.695649 -1.99055  4 
 0.822219 -2.01201  4 
 0.948789 -2.03033  4 
 1.07536 -2.04503  4 
 1.20193 -2.05562  4 
 1.3285 -2.06162  4 
 1.45507 -2.06255  4 
 1.58164 -2.05792  4 
 1.70821 -2.04726  4 
 1.83478 -2.03007  4 
 1.96135 -2.00588  4 
 2.08792 -1.9742  4 
 2.12582 -1.96232  4 
 2.21449 -1.92705  4 
 2.34106 -1.86597  4 
 2.39387 -1.83575  4 
 2.46763 -1.78074  4 
 2.54996 -1.70918  4 
 2.5942 -1.65732  4 
 2.64967 -1.58261  4 
 2.71612 -1.45604  4 
 2.72077 -1.44261  4 
 2.75524 -1.32947  4 
 2.7778 -1.2029  4 
 2.78792 -1.07633  4 
 2.78882 -0.949761  4 
 2.78335 -0.823191  4 
 2.77402 -0.696621  4 
 2.76297 -0.570051  4 
 2.75198 -0.443481  4 
 2.74248 -0.316911  4 
 2.73555 -0.190341  4 
 2.7319 -0.0637706  4 
 2.73188  0.0627994  4 
 2.73551  0.189369  4 
 2.74242  0.315939  4 
 2.7519  0.442509  4 

-4.24058 -2.90822  4 
-4.35775 -2.97488  4 
-4.36715 -2.97954  4 
-4.49372 -3.04644  4 
-4.5915 -3.10145  4 
-4.62029 -3.11565  4 
-4.74686 -3.18195  4 
-4.82981 -3.22802  4 
-4.87343 -3.24938  4 
-5 -3.31498  4 

-5  3.315  4 
-4.87343  3.24934  4 
-4.82795  3.22705  4 
-4.74686  3.18197  4 
-4.62029  3.1156  4 
-4.58966  3.10048  4 
-4.49372  3.04645  4 
-4.36715  2.97948  4 
-4.35592  2.97391  4 
-4.24058  2.90822  4 
-4.12627  2.84734  4 
-4.11401  2.83978  4 
-3.98744  2.76705  4 
